iter	Passed	Remaining
0	136	136068
1	136	68362
2	137	45807
3	138	34534
4	139	27755
5	140	23234
6	141	20027
7	141	17593
8	142	15705
9	143	14208
10	144	12989
11	145	11961
12	146	11090
13	147	10354
14	147	9705
15	148	9136
16	149	8633
17	150	8185
18	150	7791
19	151	7433
20	152	7111
21	153	6814
22	154	6547
23	154	6300
24	155	6078
25	156	5870
26	157	5675
27	158	5491
28	158	5320
29	159	5162
30	160	5015
31	161	4876
32	162	4747
33	162	4626
34	163	4511
35	164	4403
36	165	4299
37	166	4204
38	166	4111
39	167	4022
40	168	3939
41	169	3859
42	169	3782
43	170	3709
44	171	3644
45	172	3576
46	173	3512
47	173	3449
48	174	3389
49	175	3332
50	176	3279
51	176	3225
52	177	3174
53	178	3125
54	179	3078
55	179	3033
56	180	2990
57	181	2950
58	182	2909
59	183	2868
60	183	2830
61	184	2793
62	185	2758
63	186	2722
64	186	2689
65	187	2656
66	188	2624
67	188	2588
68	189	2558
69	190	2530
70	191	2502
71	192	2475
72	192	2448
73	193	2421
74	194	2395
75	194	2370
76	195	2345
77	196	2321
78	197	2298
79	197	2276
80	198	2253
81	199	2232
82	200	2210
83	200	2190
84	201	2167
85	202	2154
86	203	2133
87	204	2120
88	205	2101
89	206	2083
90	206	2065
91	207	2048
92	208	2031
93	209	2015
94	209	1999
95	210	1983
96	211	1967
97	212	1952
98	212	1937
99	213	1923
100	214	1909
101	214	1892
102	215	1878
103	216	1864
104	217	1851
105	217	1837
106	218	1824
107	219	1811
108	220	1798
109	220	1786
110	221	1774
111	222	1762
112	223	1751
113	223	1739
114	224	1728
115	225	1716
116	226	1705
117	226	1695
118	227	1683
119	228	1673
120	228	1662
121	229	1653
122	230	1641
123	230	1630
124	231	1621
125	232	1611
126	233	1602
127	233	1591
128	234	1582
129	235	1573
130	235	1564
131	236	1555
132	237	1546
133	238	1538
134	238	1529
135	239	1521
136	240	1514
137	240	1505
138	241	1497
139	242	1489
140	243	1481
141	243	1473
142	244	1465
143	245	1458
144	246	1451
145	246	1444
146	247	1437
147	248	1429
148	249	1422
149	249	1416
150	250	1408
151	251	1401
152	251	1394
153	252	1388
154	253	1381
155	254	1375
156	254	1368
157	255	1362
158	256	1355
159	257	1349
160	257	1343
161	258	1337
162	259	1331
163	260	1325
164	260	1319
165	261	1313
166	262	1308
167	262	1302
168	263	1296
169	264	1290
170	265	1285
171	265	1280
172	266	1275
173	267	1270
174	268	1264
175	269	1259
176	269	1254
177	270	1249
178	271	1244
179	272	1239
180	272	1232
181	273	1227
182	273	1222
183	274	1218
184	275	1213
185	276	1208
186	276	1203
187	277	1198
188	278	1194
189	279	1189
190	279	1185
191	280	1180
192	281	1175
193	282	1172
194	282	1167
195	283	1163
196	284	1159
197	285	1154
198	285	1150
199	286	1146
200	287	1141
201	287	1137
202	288	1133
203	289	1129
204	290	1125
205	290	1121
206	291	1117
207	292	1113
208	293	1109
209	293	1105
210	294	1102
211	295	1098
212	296	1094
213	297	1090
214	297	1087
215	298	1083
216	299	1079
217	300	1076
218	300	1072
219	301	1068
220	302	1065
221	302	1061
222	303	1058
223	304	1054
224	305	1051
225	306	1047
226	306	1044
227	307	1040
228	308	1037
229	308	1034
230	309	1031
231	310	1027
232	311	1024
233	311	1021
234	312	1017
235	313	1015
236	314	1012
237	315	1009
238	315	1005
239	316	1002
240	317	999
241	318	996
242	319	993
243	319	990
244	320	987
245	321	984
246	322	981
247	322	978
248	323	975
249	324	972
250	324	969
251	325	966
252	326	963
253	327	961
254	327	958
255	328	955
256	329	952
257	330	949
258	331	947
259	331	944
