iter	Passed	Remaining
0	0	766
1	1	704
2	2	666
3	2	643
4	3	654
5	3	653
6	4	649
7	5	678
8	6	675
9	6	665
10	7	665
11	8	664
12	8	665
13	9	660
14	10	660
15	10	660
16	11	657
17	12	655
18	12	653
19	13	651
20	13	652
21	14	647
22	15	646
23	15	648
24	16	649
25	17	648
26	17	648
27	18	646
28	19	646
29	19	645
30	20	646
31	21	645
32	22	645
33	22	646
34	23	646
35	24	645
36	24	645
37	25	646
38	26	644
39	26	641
40	27	640
41	28	641
42	28	640
43	29	640
44	30	639
45	30	637
46	31	635
47	32	634
48	32	633
49	33	632
50	34	632
51	34	632
52	35	631
53	36	632
54	36	631
55	37	630
56	38	629
57	38	628
58	39	627
59	39	625
60	40	625
61	41	625
62	42	624
63	42	623
64	43	624
65	44	624
66	44	623
67	45	622
68	46	621
69	46	623
70	47	622
71	48	624
72	49	623
73	49	622
74	50	621
75	50	619
76	51	618
77	52	618
78	52	617
79	53	617
80	54	617
81	55	616
82	55	613
83	56	613
84	56	612
85	57	611
86	58	611
87	58	610
88	59	610
89	60	610
90	61	610
91	61	609
92	62	608
93	63	609
94	63	608
95	64	607
96	65	607
97	65	606
98	66	606
99	67	606
100	67	604
101	68	604
102	69	603
103	69	602
104	70	601
105	71	600
106	71	599
107	72	598
108	73	597
109	73	596
110	74	595
111	74	594
112	75	592
113	76	591
114	76	590
115	77	590
116	77	588
117	78	588
118	79	587
119	80	586
120	80	585
121	81	583
122	81	582
123	82	581
124	82	580
125	83	579
126	84	577
127	84	576
128	85	576
129	85	575
130	86	574
131	87	573
132	87	572
133	88	570
134	88	569
135	89	569
136	90	567
137	90	567
138	92	571
139	92	570
140	93	569
141	93	567
142	94	565
143	94	564
144	95	563
145	96	561
146	96	560
147	97	559
148	97	559
149	98	558
150	99	557
151	99	556
152	100	555
153	100	554
154	101	552
155	101	551
156	102	550
157	103	549
158	103	549
159	104	548
160	104	546
161	105	546
162	106	545
163	106	545
164	107	544
165	108	544
166	109	543
167	109	543
168	110	542
169	110	541
170	111	541
171	112	541
172	113	541
173	114	541
174	114	540
175	115	539
176	115	538
177	116	538
178	117	538
179	118	537
180	118	536
181	119	535
182	119	535
183	120	534
184	121	533
185	121	532
186	122	531
187	122	531
188	123	530
189	124	529
190	124	528
191	125	527
192	125	526
193	126	525
194	127	524
195	127	523
196	128	522
197	128	521
198	129	521
199	130	520
200	130	519
201	131	517
202	131	516
203	132	515
204	132	514
205	133	513
206	133	512
207	134	511
208	135	511
209	135	510
210	136	509
211	136	508
212	137	507
213	137	506
214	138	505
215	139	504
216	139	503
217	140	502
218	140	501
219	141	501
220	141	500
221	142	499
222	143	498
223	143	498
224	144	497
225	144	496
226	145	495
227	146	494
228	146	494
229	147	493
230	148	492
231	148	492
232	149	491
233	149	490
234	150	490
235	151	489
236	151	488
